year,round_number,race_name,track_name,session_type,time,air_temp,track_temp,humidity,pressure,rainfall,wind_speed,wind_direction,source,created_at
2025,1,Australia,Australian Grand Prix,R,0 days 00:00:07.776000,15.8,18.8,91.0,1009.2,True,2.6,211,fastf1,2026-06-30T00:48:46.532443+00:00
2025,1,Australia,Australian Grand Prix,R,0 days 00:01:07.777000,15.7,18.8,92.0,1009.2,True,2.6,273,fastf1,2026-06-30T00:48:46.532443+00:00
2025,1,Australia,Australian Grand Prix,R,0 days 00:02:07.763000,15.7,18.8,92.0,1009.0,True,2.2,271,fastf1,2026-06-30T00:48:46.532443+00:00
2025,1,Australia,Australian Grand Prix,R,0 days 00:03:07.777000,15.7,18.8,90.0,1009.1,True,5.3,261,fastf1,2026-06-30T00:48:46.532443+00:00
2025,1,Australia,Australian Grand Prix,R,0 days 00:04:07.778000,15.7,18.8,90.0,1009.4,True,5.6,246,fastf1,2026-06-30T00:48:46.532443+00:00
2025,1,Australia,Australian Grand Prix,R,0 days 00:05:07.767000,15.6,18.8,90.0,1009.2,True,3.9,264,fastf1,2026-06-30T00:48:46.532443+00:00
2025,1,Australia,Australian Grand Prix,R,0 days 00:06:07.782000,15.6,18.8,90.0,1009.2,True,4.8,283,fastf1,2026-06-30T00:48:46.532443+00:00
2025,1,Australia,Australian Grand Prix,R,0 days 00:07:07.767000,15.6,18.8,90.0,1009.1,True,3.2,267,fastf1,2026-06-30T00:48:46.532443+00:00
2025,1,Australia,Australian Grand Prix,R,0 days 00:08:07.783000,15.6,18.7,90.0,1009.3,True,3.7,252,fastf1,2026-06-30T00:48:46.532443+00:00
2025,1,Australia,Australian Grand Prix,R,0 days 00:09:07.785000,15.6,18.7,89.0,1009.1,False,3.4,274,fastf1,2026-06-30T00:48:46.532443+00:00
2025,1,Australia,Australian Grand Prix,R,0 days 00:10:07.784000,15.6,18.7,89.0,1009.3,False,4.4,265,fastf1,2026-06-30T00:48:46.532443+00:00
2025,1,Australia,Australian Grand Prix,R,0 days 00:11:07.807000,15.6,18.7,89.0,1009.1,False,4.6,269,fastf1,2026-06-30T00:48:46.532443+00:00
