year,round_number,race_name,track_name,session_type,driver,team,lap_number,lap_time,lap_time_seconds,sector_1_time,sector_2_time,sector_3_time,compound,tyre_life,stint,fresh_tyre,pit_in_time,pit_out_time,pit_in_lap,pit_out_lap,is_pit_lap,pit_stop_count,track_status,safety_car_or_vsc_flag,position,source,source_file,created_at
2025,17,Azerbaijan,Azerbaijan Grand Prix,R,VER,Red Bull Racing,1.0,0 days 00:02:08.681000,128.681,,43.942,43.351,HARD,1.0,1.0,True,,,,,False,0,124,True,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/azerbaijan/race_laps.csv,2026-06-30T00:51:24.698885+00:00
2025,17,Azerbaijan,Azerbaijan Grand Prix,R,VER,Red Bull Racing,2.0,,,59.991,64.906,39.292,HARD,2.0,1.0,True,,,,,False,0,4,True,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/azerbaijan/race_laps.csv,2026-06-30T00:51:24.698885+00:00
2025,17,Azerbaijan,Azerbaijan Grand Prix,R,VER,Red Bull Racing,3.0,,,56.953,63.181,39.015,HARD,3.0,1.0,True,,,,,False,0,4,True,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/azerbaijan/race_laps.csv,2026-06-30T00:51:24.698885+00:00
2025,17,Azerbaijan,Azerbaijan Grand Prix,R,VER,Red Bull Racing,4.0,,,55.363,66.78,70.106,HARD,4.0,1.0,True,,,,,False,0,41,True,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/azerbaijan/race_laps.csv,2026-06-30T00:51:24.698885+00:00
2025,17,Azerbaijan,Azerbaijan Grand Prix,R,VER,Red Bull Racing,5.0,0 days 00:01:47.655000,107.655,38.76,43.068,25.827,HARD,5.0,1.0,True,,,,,False,0,1,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/azerbaijan/race_laps.csv,2026-06-30T00:51:24.698885+00:00
2025,17,Azerbaijan,Azerbaijan Grand Prix,R,VER,Red Bull Racing,6.0,0 days 00:01:47.127000,107.127,38.293,43.062,25.772,HARD,6.0,1.0,True,,,,,False,0,1,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/azerbaijan/race_laps.csv,2026-06-30T00:51:24.698885+00:00
2025,17,Azerbaijan,Azerbaijan Grand Prix,R,VER,Red Bull Racing,7.0,0 days 00:01:46.484000,106.484,37.926,42.805,25.753,HARD,7.0,1.0,True,,,,,False,0,12,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/azerbaijan/race_laps.csv,2026-06-30T00:51:24.698885+00:00
2025,17,Azerbaijan,Azerbaijan Grand Prix,R,VER,Red Bull Racing,8.0,0 days 00:01:46.133000,106.133,37.774,42.641,25.718,HARD,8.0,1.0,True,,,,,False,0,1,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/azerbaijan/race_laps.csv,2026-06-30T00:51:24.698885+00:00
2025,17,Azerbaijan,Azerbaijan Grand Prix,R,VER,Red Bull Racing,9.0,0 days 00:01:46.376000,106.376,37.682,42.802,25.892,HARD,9.0,1.0,True,,,,,False,0,1,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/azerbaijan/race_laps.csv,2026-06-30T00:51:24.698885+00:00
2025,17,Azerbaijan,Azerbaijan Grand Prix,R,VER,Red Bull Racing,10.0,0 days 00:01:46.172000,106.172,37.593,42.781,25.798,HARD,10.0,1.0,True,,,,,False,0,1,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/azerbaijan/race_laps.csv,2026-06-30T00:51:24.698885+00:00
