year,round_number,race_name,track_name,session_type,time,air_temp,track_temp,humidity,pressure,rainfall,wind_speed,wind_direction,source,created_at
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:00:15.360000,22.2,37.1,60.0,987.2,False,3.7,263,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:01:15.357000,22.3,37.2,60.0,987.2,False,2.5,266,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:02:15.357000,22.4,37.5,59.0,987.2,False,1.7,253,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:03:15.367000,22.4,37.9,59.0,987.2,False,1.6,240,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:04:15.367000,22.3,38.0,59.0,987.2,False,1.7,254,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:05:15.374000,22.4,38.0,58.0,987.2,False,2.0,263,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:06:15.365000,22.4,37.6,59.0,987.2,False,2.5,247,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:07:15.365000,22.3,37.5,59.0,987.2,False,2.3,256,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:08:15.378000,22.4,37.5,57.0,987.3,False,3.5,274,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:09:15.373000,22.2,36.9,58.0,987.2,False,3.6,281,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:10:15.372000,22.1,36.9,59.0,987.3,False,3.2,295,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:11:15.363000,22.1,37.4,59.0,987.3,False,2.6,255,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:12:15.379000,22.3,37.6,59.0,987.3,False,2.3,260,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:13:15.364000,22.3,37.5,58.0,987.2,False,1.8,268,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:14:15.377000,22.2,37.2,58.0,987.1,False,2.8,256,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:15:15.383000,22.3,37.3,58.0,987.2,False,2.5,264,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:16:15.365000,22.3,37.1,57.0,987.2,False,3.6,255,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:17:15.396000,22.2,36.4,58.0,987.2,False,2.2,266,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:18:15.403000,22.4,36.5,57.0,987.2,False,1.7,249,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:19:15.431000,22.3,35.9,58.0,987.2,False,3.5,250,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:20:15.428000,22.3,35.9,59.0,987.3,False,2.5,252,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:21:15.430000,22.3,35.9,59.0,987.2,False,2.5,248,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:22:15.432000,22.3,36.3,60.0,987.2,False,2.6,253,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:23:15.433000,22.4,36.5,58.0,987.3,False,2.2,250,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:24:15.421000,22.4,36.4,58.0,987.2,False,3.1,260,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:25:15.437000,22.4,35.9,58.0,987.3,False,2.5,265,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:26:15.415000,22.4,35.9,58.0,987.3,False,2.1,253,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:27:15.430000,22.4,35.5,58.0,987.2,False,2.3,268,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:28:15.431000,22.3,35.4,57.0,987.3,False,2.4,273,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:29:15.428000,22.3,35.7,56.0,987.3,False,2.4,251,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:30:15.429000,22.2,35.0,55.0,987.2,False,2.0,267,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:31:15.445000,22.1,33.3,56.0,987.2,False,2.9,268,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:32:15.429000,22.1,31.8,56.0,987.3,False,2.6,259,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:33:15.436000,22.1,32.4,55.0,987.2,False,2.5,281,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:34:15.435000,22.0,33.9,57.0,987.2,False,2.7,252,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:35:15.443000,22.0,33.7,57.0,987.2,False,2.0,253,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:36:15.434000,22.0,33.5,58.0,987.2,False,2.9,280,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:37:15.441000,21.9,32.8,57.0,987.3,False,2.3,256,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:38:15.434000,21.9,32.6,58.0,987.1,False,2.3,263,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:39:15.435000,22.0,32.1,58.0,987.1,False,1.9,257,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:40:15.451000,22.0,32.8,57.0,987.1,False,2.0,289,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:41:15.475000,22.0,33.3,59.0,987.1,False,2.7,260,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:42:15.488000,22.0,33.7,59.0,987.2,False,2.2,286,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:43:15.496000,22.0,33.7,58.0,987.1,False,2.6,248,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:44:15.492000,21.9,33.5,56.0,987.1,False,3.1,259,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:45:15.496000,22.0,33.1,57.0,987.2,False,2.7,265,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:46:15.514000,21.9,33.2,58.0,987.1,False,3.1,256,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:47:15.524000,21.9,33.2,57.0,987.2,False,1.9,262,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:48:15.525000,21.9,33.2,57.0,987.1,False,1.7,246,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:49:15.521000,21.9,31.6,57.0,987.0,False,2.1,262,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:50:15.528000,21.9,31.6,57.0,987.1,False,2.4,265,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:51:15.522000,21.8,31.6,57.0,987.1,False,2.8,268,fastf1,2026-06-30T00:50:51.585913+00:00
2025,14,Hungary,Hungarian Grand Prix,R,0 days 00:52:15.529000,21.8,31.9,57.0,987.1,False,3.1,266,fastf1,2026-06-30T00:50:51.585913+00:00
