year,round_number,race_name,track_name,session_type,driver,team,lap_number,lap_time,lap_time_seconds,sector_1_time,sector_2_time,sector_3_time,compound,tyre_life,stint,fresh_tyre,pit_in_time,pit_out_time,pit_in_lap,pit_out_lap,is_pit_lap,pit_stop_count,track_status,safety_car_or_vsc_flag,position,source,source_file,created_at
2025,16,Italy,Italian Grand Prix,R,VER,Red Bull Racing,1.0,0 days 00:01:27.159000,87.159,,29.088,28.517,MEDIUM,1.0,1.0,True,,,,,False,0,1,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/italy/race_laps.csv,2026-06-30T01:23:46.625936+00:00
2025,16,Italy,Italian Grand Prix,R,VER,Red Bull Racing,2.0,0 days 00:01:24.859000,84.859,28.457,28.843,27.559,MEDIUM,2.0,1.0,True,,,,,False,0,1,False,2.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/italy/race_laps.csv,2026-06-30T01:23:46.625936+00:00
2025,16,Italy,Italian Grand Prix,R,VER,Red Bull Racing,3.0,0 days 00:01:23.512000,83.512,27.212,28.713,27.587,MEDIUM,3.0,1.0,True,,,,,False,0,1,False,2.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/italy/race_laps.csv,2026-06-30T01:23:46.625936+00:00
2025,16,Italy,Italian Grand Prix,R,VER,Red Bull Racing,4.0,0 days 00:01:23.262000,83.262,27.375,28.455,27.432,MEDIUM,4.0,1.0,True,,,,,False,0,1,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/italy/race_laps.csv,2026-06-30T01:23:46.625936+00:00
2025,16,Italy,Italian Grand Prix,R,VER,Red Bull Racing,5.0,0 days 00:01:23.588000,83.588,27.52,28.427,27.641,MEDIUM,5.0,1.0,True,,,,,False,0,1,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/italy/race_laps.csv,2026-06-30T01:23:46.625936+00:00
2025,16,Italy,Italian Grand Prix,R,VER,Red Bull Racing,6.0,0 days 00:01:23.576000,83.576,27.434,28.496,27.646,MEDIUM,6.0,1.0,True,,,,,False,0,1,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/italy/race_laps.csv,2026-06-30T01:23:46.625936+00:00
2025,16,Italy,Italian Grand Prix,R,VER,Red Bull Racing,7.0,0 days 00:01:23.310000,83.31,27.458,28.306,27.546,MEDIUM,7.0,1.0,True,,,,,False,0,1,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/italy/race_laps.csv,2026-06-30T01:23:46.625936+00:00
2025,16,Italy,Italian Grand Prix,R,VER,Red Bull Racing,8.0,0 days 00:01:23.139000,83.139,27.411,28.318,27.41,MEDIUM,8.0,1.0,True,,,,,False,0,1,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/italy/race_laps.csv,2026-06-30T01:23:46.625936+00:00
2025,16,Italy,Italian Grand Prix,R,VER,Red Bull Racing,9.0,0 days 00:01:23.101000,83.101,27.292,28.355,27.454,MEDIUM,9.0,1.0,True,,,,,False,0,1,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/italy/race_laps.csv,2026-06-30T01:23:46.625936+00:00
2025,16,Italy,Italian Grand Prix,R,VER,Red Bull Racing,10.0,0 days 00:01:23.088000,83.088,27.369,28.37,27.349,MEDIUM,10.0,1.0,True,,,,,False,0,1,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/italy/race_laps.csv,2026-06-30T01:23:46.625936+00:00
2025,16,Italy,Italian Grand Prix,R,VER,Red Bull Racing,11.0,0 days 00:01:23.066000,83.066,27.378,28.3,27.388,MEDIUM,11.0,1.0,True,,,,,False,0,1,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/italy/race_laps.csv,2026-06-30T01:23:46.625936+00:00
2025,16,Italy,Italian Grand Prix,R,VER,Red Bull Racing,12.0,0 days 00:01:23.014000,83.014,27.338,28.354,27.322,MEDIUM,12.0,1.0,True,,,,,False,0,1,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/italy/race_laps.csv,2026-06-30T01:23:46.625936+00:00
2025,16,Italy,Italian Grand Prix,R,VER,Red Bull Racing,13.0,0 days 00:01:23.254000,83.254,27.35,28.463,27.441,MEDIUM,13.0,1.0,True,,,,,False,0,1,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/italy/race_laps.csv,2026-06-30T01:23:46.625936+00:00
2025,16,Italy,Italian Grand Prix,R,VER,Red Bull Racing,14.0,0 days 00:01:23.118000,83.118,27.446,28.319,27.353,MEDIUM,14.0,1.0,True,,,,,False,0,1,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/italy/race_laps.csv,2026-06-30T01:23:46.625936+00:00
2025,16,Italy,Italian Grand Prix,R,VER,Red Bull Racing,15.0,0 days 00:01:23.077000,83.077,27.386,28.238,27.453,MEDIUM,15.0,1.0,True,,,,,False,0,1,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/italy/race_laps.csv,2026-06-30T01:23:46.625936+00:00
2025,16,Italy,Italian Grand Prix,R,VER,Red Bull Racing,16.0,0 days 00:01:23.001000,83.001,27.4,28.202,27.399,MEDIUM,16.0,1.0,True,,,,,False,0,1,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/italy/race_laps.csv,2026-06-30T01:23:46.625936+00:00
2025,16,Italy,Italian Grand Prix,R,VER,Red Bull Racing,17.0,0 days 00:01:22.890000,82.89,27.317,28.234,27.339,MEDIUM,17.0,1.0,True,,,,,False,0,1,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/italy/race_laps.csv,2026-06-30T01:23:46.625936+00:00
2025,16,Italy,Italian Grand Prix,R,VER,Red Bull Racing,18.0,0 days 00:01:22.727000,82.727,27.301,28.154,27.272,MEDIUM,18.0,1.0,True,,,,,False,0,1,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/italy/race_laps.csv,2026-06-30T01:23:46.625936+00:00
