year,round_number,race_name,track_name,session_type,time,air_temp,track_temp,humidity,pressure,rainfall,wind_speed,wind_direction,source,created_at
2025,16,Italy,Italian Grand Prix,R,0 days 00:00:18.360000,26.0,43.5,44.0,997.5,False,2.5,263,fastf1,2026-06-30T22:41:44.328321+00:00
2025,16,Italy,Italian Grand Prix,R,0 days 00:01:18.329000,26.1,43.6,44.0,997.4,False,1.6,246,fastf1,2026-06-30T22:41:44.328321+00:00
2025,16,Italy,Italian Grand Prix,R,0 days 00:02:18.345000,26.1,43.7,45.0,997.3,False,1.5,210,fastf1,2026-06-30T22:41:44.328321+00:00
2025,16,Italy,Italian Grand Prix,R,0 days 00:03:18.345000,26.1,43.7,45.0,997.4,False,1.5,202,fastf1,2026-06-30T22:41:44.328321+00:00
2025,16,Italy,Italian Grand Prix,R,0 days 00:04:18.355000,26.0,43.7,43.0,997.4,False,1.7,182,fastf1,2026-06-30T22:41:44.328321+00:00
2025,16,Italy,Italian Grand Prix,R,0 days 00:05:18.346000,26.0,43.9,44.0,997.4,False,1.2,239,fastf1,2026-06-30T22:41:44.328321+00:00
2025,16,Italy,Italian Grand Prix,R,0 days 00:06:18.351000,25.9,43.9,45.0,997.5,False,1.6,302,fastf1,2026-06-30T22:41:44.328321+00:00
2025,16,Italy,Italian Grand Prix,R,0 days 00:07:18.351000,26.0,43.9,44.0,997.4,False,0.9,97,fastf1,2026-06-30T22:41:44.328321+00:00
2025,16,Italy,Italian Grand Prix,R,0 days 00:08:18.364000,26.1,43.6,43.0,997.3,False,0.5,196,fastf1,2026-06-30T22:41:44.328321+00:00
2025,16,Italy,Italian Grand Prix,R,0 days 00:09:18.379000,26.1,43.3,44.0,997.3,False,0.8,255,fastf1,2026-06-30T22:41:44.328321+00:00
2025,16,Italy,Italian Grand Prix,R,0 days 00:10:18.408000,26.1,43.6,43.0,997.2,False,0.4,0,fastf1,2026-06-30T22:41:44.328321+00:00
2025,16,Italy,Italian Grand Prix,R,0 days 00:11:18.402000,26.1,43.7,43.0,997.2,False,0.0,101,fastf1,2026-06-30T22:41:44.328321+00:00
2025,16,Italy,Italian Grand Prix,R,0 days 00:12:18.399000,26.0,44.4,44.0,997.3,False,0.9,151,fastf1,2026-06-30T22:41:44.328321+00:00
2025,16,Italy,Italian Grand Prix,R,0 days 00:13:18.411000,26.1,44.9,43.0,997.2,False,2.0,108,fastf1,2026-06-30T22:41:44.328321+00:00
2025,16,Italy,Italian Grand Prix,R,0 days 00:14:18.400000,26.1,44.9,44.0,997.3,False,1.0,177,fastf1,2026-06-30T22:41:44.328321+00:00
2025,16,Italy,Italian Grand Prix,R,0 days 00:15:18.396000,26.1,44.8,44.0,997.2,False,1.5,211,fastf1,2026-06-30T22:41:44.328321+00:00
2025,16,Italy,Italian Grand Prix,R,0 days 00:16:18.395000,26.3,44.8,44.0,997.1,False,1.1,244,fastf1,2026-06-30T22:41:44.328321+00:00
2025,16,Italy,Italian Grand Prix,R,0 days 00:17:18.409000,26.3,44.3,44.0,997.2,False,0.9,0,fastf1,2026-06-30T22:41:44.328321+00:00
2025,16,Italy,Italian Grand Prix,R,0 days 00:18:18.456000,26.3,44.0,43.0,997.2,False,1.3,205,fastf1,2026-06-30T22:41:44.328321+00:00
2025,16,Italy,Italian Grand Prix,R,0 days 00:19:18.456000,26.4,44.1,44.0,997.2,False,1.9,199,fastf1,2026-06-30T22:41:44.328321+00:00
2025,16,Italy,Italian Grand Prix,R,0 days 00:20:18.462000,26.4,44.1,43.0,997.2,False,2.3,190,fastf1,2026-06-30T22:41:44.328321+00:00
2025,16,Italy,Italian Grand Prix,R,0 days 00:21:18.469000,26.5,44.3,43.0,997.1,False,1.5,239,fastf1,2026-06-30T22:41:44.328321+00:00
2025,16,Italy,Italian Grand Prix,R,0 days 00:22:18.469000,26.5,44.4,43.0,997.1,False,0.8,258,fastf1,2026-06-30T22:41:44.328321+00:00
2025,16,Italy,Italian Grand Prix,R,0 days 00:23:18.462000,26.5,44.4,43.0,997.1,False,1.7,161,fastf1,2026-06-30T22:41:44.328321+00:00
2025,16,Italy,Italian Grand Prix,R,0 days 00:24:18.482000,26.6,44.7,43.0,997.0,False,0.6,219,fastf1,2026-06-30T22:41:44.328321+00:00
2025,16,Italy,Italian Grand Prix,R,0 days 00:25:18.485000,26.5,45.0,43.0,997.1,False,0.8,189,fastf1,2026-06-30T22:41:44.328321+00:00
2025,16,Italy,Italian Grand Prix,R,0 days 00:26:18.485000,26.6,45.5,43.0,997.0,False,2.3,205,fastf1,2026-06-30T22:41:44.328321+00:00
2025,16,Italy,Italian Grand Prix,R,0 days 00:27:18.491000,26.6,45.8,42.0,997.0,False,2.7,164,fastf1,2026-06-30T22:41:44.328321+00:00
2025,16,Italy,Italian Grand Prix,R,0 days 00:28:18.485000,26.5,45.8,43.0,997.1,False,2.0,166,fastf1,2026-06-30T22:41:44.328321+00:00
2025,16,Italy,Italian Grand Prix,R,0 days 00:29:18.485000,26.5,45.6,43.0,997.0,False,2.4,175,fastf1,2026-06-30T22:41:44.328321+00:00
2025,16,Italy,Italian Grand Prix,R,0 days 00:30:18.486000,26.5,45.2,44.0,997.0,False,2.2,163,fastf1,2026-06-30T22:41:44.328321+00:00
2025,16,Italy,Italian Grand Prix,R,0 days 00:31:18.486000,26.5,45.6,45.0,997.0,False,2.1,172,fastf1,2026-06-30T22:41:44.328321+00:00
2025,16,Italy,Italian Grand Prix,R,0 days 00:32:18.486000,26.5,45.6,43.0,997.1,False,2.3,153,fastf1,2026-06-30T22:41:44.328321+00:00
2025,16,Italy,Italian Grand Prix,R,0 days 00:33:18.503000,26.7,45.7,44.0,996.9,False,1.9,179,fastf1,2026-06-30T22:41:44.328321+00:00
2025,16,Italy,Italian Grand Prix,R,0 days 00:34:18.493000,26.7,45.9,43.0,997.0,False,2.2,208,fastf1,2026-06-30T22:41:44.328321+00:00
2025,16,Italy,Italian Grand Prix,R,0 days 00:35:18.494000,26.6,45.9,42.0,997.0,False,2.5,168,fastf1,2026-06-30T22:41:44.328321+00:00
2025,16,Italy,Italian Grand Prix,R,0 days 00:36:18.513000,26.6,45.8,43.0,996.9,False,2.0,192,fastf1,2026-06-30T22:41:44.328321+00:00
2025,16,Italy,Italian Grand Prix,R,0 days 00:37:18.539000,26.6,45.6,42.0,996.9,False,1.9,211,fastf1,2026-06-30T22:41:44.328321+00:00
2025,16,Italy,Italian Grand Prix,R,0 days 00:38:18.491000,26.6,45.8,43.0,996.9,False,1.1,160,fastf1,2026-06-30T22:41:44.328321+00:00
