year,round_number,race_name,track_name,session_type,driver,team,lap_number,lap_time,lap_time_seconds,sector_1_time,sector_2_time,sector_3_time,compound,tyre_life,stint,fresh_tyre,pit_in_time,pit_out_time,pit_in_lap,pit_out_lap,is_pit_lap,pit_stop_count,track_status,safety_car_or_vsc_flag,position,source,source_file,created_at
2025,20,Mexico City,Mexico City Grand Prix,R,VER,Red Bull Racing,1.0,0 days 00:01:27.817000,87.817,,34.363,21.461,MEDIUM,1.0,1.0,True,,,,,False,0,1,False,4.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/mexico_city/race_laps.csv,2026-06-30T01:23:50.488779+00:00
2025,20,Mexico City,Mexico City Grand Prix,R,VER,Red Bull Racing,2.0,0 days 00:01:23.412000,83.412,29.364,32.6,21.448,MEDIUM,2.0,1.0,True,,,,,False,0,1,False,4.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/mexico_city/race_laps.csv,2026-06-30T01:23:50.488779+00:00
2025,20,Mexico City,Mexico City Grand Prix,R,VER,Red Bull Racing,3.0,0 days 00:01:22.702000,82.702,28.912,32.319,21.471,MEDIUM,3.0,1.0,True,,,,,False,0,12,False,4.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/mexico_city/race_laps.csv,2026-06-30T01:23:50.488779+00:00
2025,20,Mexico City,Mexico City Grand Prix,R,VER,Red Bull Racing,4.0,0 days 00:01:22.787000,82.787,28.845,32.551,21.391,MEDIUM,4.0,1.0,True,,,,,False,0,1,False,4.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/mexico_city/race_laps.csv,2026-06-30T01:23:50.488779+00:00
2025,20,Mexico City,Mexico City Grand Prix,R,VER,Red Bull Racing,5.0,0 days 00:01:22.538000,82.538,28.826,32.294,21.418,MEDIUM,5.0,1.0,True,,,,,False,0,1,False,4.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/mexico_city/race_laps.csv,2026-06-30T01:23:50.488779+00:00
2025,20,Mexico City,Mexico City Grand Prix,R,VER,Red Bull Racing,6.0,0 days 00:01:28.329000,88.329,30.301,36.281,21.747,MEDIUM,6.0,1.0,True,,,,,False,0,12,False,5.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/mexico_city/race_laps.csv,2026-06-30T01:23:50.488779+00:00
2025,20,Mexico City,Mexico City Grand Prix,R,VER,Red Bull Racing,7.0,0 days 00:01:22.981000,82.981,28.977,32.542,21.462,MEDIUM,7.0,1.0,True,,,,,False,0,1,False,5.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/mexico_city/race_laps.csv,2026-06-30T01:23:50.488779+00:00
2025,20,Mexico City,Mexico City Grand Prix,R,VER,Red Bull Racing,8.0,0 days 00:01:23.010000,83.01,28.925,32.704,21.381,MEDIUM,8.0,1.0,True,,,,,False,0,1,False,5.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/mexico_city/race_laps.csv,2026-06-30T01:23:50.488779+00:00
2025,20,Mexico City,Mexico City Grand Prix,R,VER,Red Bull Racing,9.0,0 days 00:01:23.296000,83.296,29.071,32.531,21.694,MEDIUM,9.0,1.0,True,,,,,False,0,1,False,5.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/mexico_city/race_laps.csv,2026-06-30T01:23:50.488779+00:00
2025,20,Mexico City,Mexico City Grand Prix,R,VER,Red Bull Racing,10.0,0 days 00:01:23.234000,83.234,29.207,32.441,21.586,MEDIUM,10.0,1.0,True,,,,,False,0,1,False,5.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/mexico_city/race_laps.csv,2026-06-30T01:23:50.488779+00:00
