year,round_number,race_name,track_name,session_type,driver,team,lap_number,lap_time,lap_time_seconds,sector_1_time,sector_2_time,sector_3_time,compound,tyre_life,stint,fresh_tyre,pit_in_time,pit_out_time,pit_in_lap,pit_out_lap,is_pit_lap,pit_stop_count,track_status,safety_car_or_vsc_flag,position,source,source_file,created_at
2025,6,Miami,Miami Grand Prix,R,VER,Red Bull Racing,1.0,0 days 00:01:35.669000,95.669,,34.681,26.31,nan,,,True,,,,,False,0,12,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/miami/race_laps.csv,2026-06-30T00:49:42.097144+00:00
2025,6,Miami,Miami Grand Prix,R,VER,Red Bull Racing,2.0,0 days 00:01:51.128000,111.128,31.426,47.94,31.762,nan,,,True,,,,,False,0,126,True,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/miami/race_laps.csv,2026-06-30T00:49:42.097144+00:00
2025,6,Miami,Miami Grand Prix,R,VER,Red Bull Racing,3.0,0 days 00:02:05.946000,125.946,43.901,48.777,33.268,nan,,,True,,,,,False,0,671,True,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/miami/race_laps.csv,2026-06-30T00:49:42.097144+00:00
2025,6,Miami,Miami Grand Prix,R,VER,Red Bull Racing,4.0,0 days 00:01:32.569000,92.569,31.185,35.126,26.258,nan,,,True,,,,,False,0,1,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/miami/race_laps.csv,2026-06-30T00:49:42.097144+00:00
2025,6,Miami,Miami Grand Prix,R,VER,Red Bull Racing,5.0,0 days 00:01:32.133000,92.133,31.182,34.799,26.152,nan,,,True,,,,,False,0,1,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/miami/race_laps.csv,2026-06-30T00:49:42.097144+00:00
2025,6,Miami,Miami Grand Prix,R,VER,Red Bull Racing,6.0,0 days 00:01:32.096000,92.096,31.075,34.815,26.206,nan,,,True,,,,,False,0,1,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/miami/race_laps.csv,2026-06-30T00:49:42.097144+00:00
2025,6,Miami,Miami Grand Prix,R,VER,Red Bull Racing,7.0,0 days 00:01:32.083000,92.083,31.076,34.867,26.14,nan,,,True,,,,,False,0,1,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/miami/race_laps.csv,2026-06-30T00:49:42.097144+00:00
2025,6,Miami,Miami Grand Prix,R,VER,Red Bull Racing,8.0,0 days 00:01:32.583000,92.583,31.42,35.021,26.142,nan,,,True,,,,,False,0,1,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/miami/race_laps.csv,2026-06-30T00:49:42.097144+00:00
2025,6,Miami,Miami Grand Prix,R,VER,Red Bull Racing,9.0,0 days 00:01:32.406000,92.406,31.176,34.998,26.232,nan,,,True,,,,,False,0,1,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/miami/race_laps.csv,2026-06-30T00:49:42.097144+00:00
2025,6,Miami,Miami Grand Prix,R,VER,Red Bull Racing,10.0,0 days 00:01:32.392000,92.392,30.922,35.089,26.381,nan,,,True,,,,,False,0,1,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/miami/race_laps.csv,2026-06-30T00:49:42.097144+00:00
