year,round_number,race_name,track_name,session_type,driver,team,lap_number,lap_time,lap_time_seconds,sector_1_time,sector_2_time,sector_3_time,compound,tyre_life,stint,fresh_tyre,pit_in_time,pit_out_time,pit_in_lap,pit_out_lap,is_pit_lap,pit_stop_count,track_status,safety_car_or_vsc_flag,position,source,source_file,created_at
2025,23,Qatar,Qatar Grand Prix,R,VER,Red Bull Racing,1.0,0 days 00:01:28.940000,88.94,,29.257,25.647,MEDIUM,1.0,1.0,True,,,,,False,0,1,False,2.0,fastf1,data/processed/2025/qatar/race_laps.csv,2026-06-30T22:41:55.271724+00:00
2025,23,Qatar,Qatar Grand Prix,R,VER,Red Bull Racing,2.0,0 days 00:01:27.349000,87.349,32.28,29.444,25.625,MEDIUM,2.0,1.0,True,,,,,False,0,1,False,2.0,fastf1,data/processed/2025/qatar/race_laps.csv,2026-06-30T22:41:55.271724+00:00
2025,23,Qatar,Qatar Grand Prix,R,VER,Red Bull Racing,3.0,0 days 00:01:27.511000,87.511,32.25,29.509,25.752,MEDIUM,3.0,1.0,True,,,,,False,0,1,False,2.0,fastf1,data/processed/2025/qatar/race_laps.csv,2026-06-30T22:41:55.271724+00:00
2025,23,Qatar,Qatar Grand Prix,R,VER,Red Bull Racing,4.0,0 days 00:01:27.324000,87.324,32.285,29.46,25.579,MEDIUM,4.0,1.0,True,,,,,False,0,1,False,2.0,fastf1,data/processed/2025/qatar/race_laps.csv,2026-06-30T22:41:55.271724+00:00
2025,23,Qatar,Qatar Grand Prix,R,VER,Red Bull Racing,5.0,0 days 00:01:26.843000,86.843,32.064,29.529,25.25,MEDIUM,5.0,1.0,True,,,,,False,0,1,False,2.0,fastf1,data/processed/2025/qatar/race_laps.csv,2026-06-30T22:41:55.271724+00:00
2025,23,Qatar,Qatar Grand Prix,R,VER,Red Bull Racing,6.0,0 days 00:01:27.123000,87.123,32.053,29.565,25.505,MEDIUM,6.0,1.0,True,,,,,False,0,1,False,2.0,fastf1,data/processed/2025/qatar/race_laps.csv,2026-06-30T22:41:55.271724+00:00
2025,23,Qatar,Qatar Grand Prix,R,VER,Red Bull Racing,7.0,0 days 00:01:42.211000,102.211,32.127,35.587,34.497,MEDIUM,7.0,1.0,True,0 days 01:09:05.045000,,7.0,,True,1,124,True,3.0,fastf1,data/processed/2025/qatar/race_laps.csv,2026-06-30T22:41:55.271724+00:00
2025,23,Qatar,Qatar Grand Prix,R,VER,Red Bull Racing,8.0,0 days 00:02:25.760000,145.76,66.261,36.68,42.819,MEDIUM,1.0,2.0,True,,0 days 01:09:34.951000,,8.0,True,1,4,True,3.0,fastf1,data/processed/2025/qatar/race_laps.csv,2026-06-30T22:41:55.271724+00:00
2025,23,Qatar,Qatar Grand Prix,R,VER,Red Bull Racing,9.0,0 days 00:02:21.444000,141.444,52.743,44.665,44.036,MEDIUM,2.0,2.0,True,,,,,False,1,4,True,3.0,fastf1,data/processed/2025/qatar/race_laps.csv,2026-06-30T22:41:55.271724+00:00
2025,23,Qatar,Qatar Grand Prix,R,VER,Red Bull Racing,10.0,0 days 00:02:18.630000,138.63,49.229,43.932,45.469,MEDIUM,3.0,2.0,True,,,,,False,1,41,True,3.0,fastf1,data/processed/2025/qatar/race_laps.csv,2026-06-30T22:41:55.271724+00:00
