year,round_number,race_name,track_name,session_type,time,air_temp,track_temp,humidity,pressure,rainfall,wind_speed,wind_direction,source,created_at
2025,5,Saudi Arabia,Saudi Arabian Grand Prix,R,0 days 00:00:02.318000,28.7,39.4,71.0,1006.3,False,1.2,315,fastf1,2026-06-30T01:23:25.241061+00:00
2025,5,Saudi Arabia,Saudi Arabian Grand Prix,R,0 days 00:01:02.315000,28.7,39.4,71.0,1006.3,False,1.4,284,fastf1,2026-06-30T01:23:25.241061+00:00
2025,5,Saudi Arabia,Saudi Arabian Grand Prix,R,0 days 00:02:02.314000,28.7,39.4,70.0,1006.4,False,0.9,261,fastf1,2026-06-30T01:23:25.241061+00:00
2025,5,Saudi Arabia,Saudi Arabian Grand Prix,R,0 days 00:03:02.328000,28.7,39.4,71.0,1006.3,False,0.9,265,fastf1,2026-06-30T01:23:25.241061+00:00
2025,5,Saudi Arabia,Saudi Arabian Grand Prix,R,0 days 00:04:02.323000,28.7,39.2,70.0,1006.3,False,1.8,283,fastf1,2026-06-30T01:23:25.241061+00:00
2025,5,Saudi Arabia,Saudi Arabian Grand Prix,R,0 days 00:05:02.323000,28.7,39.2,70.0,1006.3,False,2.2,265,fastf1,2026-06-30T01:23:25.241061+00:00
2025,5,Saudi Arabia,Saudi Arabian Grand Prix,R,0 days 00:06:02.330000,28.6,39.0,71.0,1006.4,False,1.6,284,fastf1,2026-06-30T01:23:25.241061+00:00
2025,5,Saudi Arabia,Saudi Arabian Grand Prix,R,0 days 00:07:02.323000,28.6,39.0,71.0,1006.4,False,1.3,285,fastf1,2026-06-30T01:23:25.241061+00:00
2025,5,Saudi Arabia,Saudi Arabian Grand Prix,R,0 days 00:08:02.328000,28.6,38.9,71.0,1006.3,False,1.1,287,fastf1,2026-06-30T01:23:25.241061+00:00
2025,5,Saudi Arabia,Saudi Arabian Grand Prix,R,0 days 00:09:02.328000,28.6,38.9,71.0,1006.3,False,0.9,290,fastf1,2026-06-30T01:23:25.241061+00:00
