year,round_number,race_name,track_name,session_type,driver,team,lap_number,lap_time,lap_time_seconds,sector_1_time,sector_2_time,sector_3_time,compound,tyre_life,stint,fresh_tyre,pit_in_time,pit_out_time,pit_in_lap,pit_out_lap,is_pit_lap,pit_stop_count,track_status,safety_car_or_vsc_flag,position,source,source_file,created_at
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,1.0,0 days 00:01:23.696000,83.696,,32.318,24.013,SOFT,4.0,1.0,False,,,,,False,0,1,False,2.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,2.0,0 days 00:01:20.083000,80.083,24.125,32.278,23.68,SOFT,5.0,1.0,False,,,,,False,0,1,False,2.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,3.0,0 days 00:01:20.537000,80.537,23.816,32.561,24.16,SOFT,6.0,1.0,False,,,,,False,0,1,False,2.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,4.0,0 days 00:01:21.032000,81.032,24.299,32.612,24.121,SOFT,7.0,1.0,False,,,,,False,0,1,False,2.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,5.0,0 days 00:01:20.964000,80.964,24.223,32.561,24.18,SOFT,8.0,1.0,False,,,,,False,0,1,False,2.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,6.0,0 days 00:01:20.822000,80.822,23.966,32.687,24.169,SOFT,9.0,1.0,False,,,,,False,0,1,False,2.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,7.0,0 days 00:01:20.760000,80.76,23.968,32.52,24.272,SOFT,10.0,1.0,False,,,,,False,0,1,False,2.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,8.0,0 days 00:01:21.019000,81.019,24.105,32.719,24.195,SOFT,11.0,1.0,False,,,,,False,0,1,False,2.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,9.0,0 days 00:01:21.168000,81.168,24.033,32.833,24.302,SOFT,12.0,1.0,False,,,,,False,0,1,False,2.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,10.0,0 days 00:01:21.163000,81.163,24.018,32.814,24.331,SOFT,13.0,1.0,False,,,,,False,0,1,False,2.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,11.0,0 days 00:01:21.143000,81.143,23.996,32.812,24.335,SOFT,14.0,1.0,False,,,,,False,0,1,False,2.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,12.0,0 days 00:01:21.623000,81.623,24.142,33.037,24.444,SOFT,15.0,1.0,False,,,,,False,0,1,False,2.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,13.0,0 days 00:01:26.030000,86.03,24.522,33.331,28.177,SOFT,16.0,1.0,False,0 days 01:16:50.998000,,13.0,,True,1,1,False,3.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,14.0,0 days 00:01:37.200000,97.2,41.85,31.809,23.541,SOFT,1.0,2.0,True,,0 days 01:17:12.799000,,14.0,True,1,1,False,8.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,15.0,0 days 00:01:19.630000,79.63,23.564,32.246,23.82,SOFT,2.0,2.0,True,,,,,False,1,1,False,7.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,16.0,0 days 00:01:19.450000,79.45,23.702,31.92,23.828,SOFT,3.0,2.0,True,,,,,False,1,1,False,7.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,17.0,0 days 00:01:20.011000,80.011,23.623,32.227,24.161,SOFT,4.0,2.0,True,,,,,False,1,1,False,5.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,18.0,0 days 00:01:19.786000,79.786,23.658,32.131,23.997,SOFT,5.0,2.0,True,,,,,False,1,1,False,4.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,19.0,0 days 00:01:20.259000,80.259,23.733,32.647,23.879,SOFT,6.0,2.0,True,,,,,False,1,1,False,3.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,20.0,0 days 00:01:19.840000,79.84,23.56,32.303,23.977,SOFT,7.0,2.0,True,,,,,False,1,1,False,3.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,21.0,0 days 00:01:19.911000,79.911,23.686,32.317,23.908,SOFT,8.0,2.0,True,,,,,False,1,1,False,3.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,22.0,0 days 00:01:19.640000,79.64,23.583,32.204,23.853,SOFT,9.0,2.0,True,,,,,False,1,1,False,2.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,23.0,0 days 00:01:20.183000,80.183,23.662,32.527,23.994,SOFT,10.0,2.0,True,,,,,False,1,1,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,24.0,0 days 00:01:19.958000,79.958,23.6,32.267,24.091,SOFT,11.0,2.0,True,,,,,False,1,1,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,25.0,0 days 00:01:20.124000,80.124,23.706,32.425,23.993,SOFT,12.0,2.0,True,,,,,False,1,1,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,26.0,0 days 00:01:20.382000,80.382,23.786,32.502,24.094,SOFT,13.0,2.0,True,,,,,False,1,1,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,27.0,0 days 00:01:20.672000,80.672,23.762,32.696,24.214,SOFT,14.0,2.0,True,,,,,False,1,1,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,28.0,0 days 00:01:20.580000,80.58,23.74,32.564,24.276,SOFT,15.0,2.0,True,,,,,False,1,1,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,29.0,0 days 00:01:24.509000,84.509,23.843,32.715,27.951,SOFT,16.0,2.0,True,0 days 01:38:33.050000,,29.0,,True,2,1,False,2.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,30.0,0 days 00:01:36.279000,96.279,41.636,31.283,23.36,MEDIUM,1.0,3.0,True,,0 days 01:38:55.114000,,30.0,True,2,1,False,4.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,31.0,0 days 00:01:18.216000,78.216,23.225,31.434,23.557,MEDIUM,2.0,3.0,True,,,,,False,2,1,False,4.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,32.0,0 days 00:01:18.455000,78.455,23.331,31.558,23.566,MEDIUM,3.0,3.0,True,,,,,False,2,1,False,4.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,33.0,0 days 00:01:18.727000,78.727,23.223,31.744,23.76,MEDIUM,4.0,3.0,True,,,,,False,2,1,False,4.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,34.0,0 days 00:01:18.924000,78.924,23.391,31.799,23.734,MEDIUM,5.0,3.0,True,,,,,False,2,1,False,4.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,35.0,0 days 00:01:19.141000,79.141,23.255,31.951,23.935,MEDIUM,6.0,3.0,True,,,,,False,2,1,False,4.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,36.0,0 days 00:01:19.218000,79.218,23.123,32.125,23.97,MEDIUM,7.0,3.0,True,,,,,False,2,1,False,3.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,37.0,0 days 00:01:19.108000,79.108,23.156,32.017,23.935,MEDIUM,8.0,3.0,True,,,,,False,2,1,False,3.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,38.0,0 days 00:01:19.443000,79.443,23.405,32.084,23.954,MEDIUM,9.0,3.0,True,,,,,False,2,1,False,3.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,39.0,0 days 00:01:19.650000,79.65,23.452,32.135,24.063,MEDIUM,10.0,3.0,True,,,,,False,2,1,False,3.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,40.0,0 days 00:01:19.726000,79.726,23.399,32.217,24.11,MEDIUM,11.0,3.0,True,,,,,False,2,1,False,3.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,41.0,0 days 00:01:19.922000,79.922,23.454,32.369,24.099,MEDIUM,12.0,3.0,True,,,,,False,2,1,False,3.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,42.0,0 days 00:01:19.963000,79.963,23.507,32.265,24.191,MEDIUM,13.0,3.0,True,,,,,False,2,1,False,3.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,43.0,0 days 00:01:20.134000,80.134,23.436,32.388,24.31,MEDIUM,14.0,3.0,True,,,,,False,2,1,False,3.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,44.0,0 days 00:01:19.840000,79.84,23.298,32.335,24.207,MEDIUM,15.0,3.0,True,,,,,False,2,1,False,3.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,45.0,0 days 00:01:20.301000,80.301,23.659,32.452,24.19,MEDIUM,16.0,3.0,True,,,,,False,2,1,False,3.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,46.0,0 days 00:01:20.367000,80.367,23.664,32.206,24.497,MEDIUM,17.0,3.0,True,,,,,False,2,1,False,3.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,47.0,0 days 00:01:23.558000,83.558,23.728,32.149,27.681,MEDIUM,18.0,3.0,True,0 days 02:02:44.158000,,47.0,,True,3,1,False,3.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,48.0,0 days 00:01:35.915000,95.915,41.938,30.996,22.981,SOFT,4.0,4.0,False,,0 days 02:03:05.962000,,48.0,True,3,1,False,3.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,49.0,0 days 00:01:17.141000,77.141,22.9,31.039,23.202,SOFT,5.0,4.0,False,,,,,False,3,1,False,3.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,50.0,0 days 00:01:17.997000,77.997,22.886,31.646,23.465,SOFT,6.0,4.0,False,,,,,False,3,1,False,3.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,51.0,0 days 00:01:18.734000,78.734,23.24,31.725,23.769,SOFT,7.0,4.0,False,,,,,False,3,1,False,3.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,52.0,0 days 00:01:18.682000,78.682,22.719,32.226,23.737,SOFT,8.0,4.0,False,,,,,False,3,1,False,3.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,53.0,0 days 00:01:18.941000,78.941,23.353,31.908,23.68,SOFT,9.0,4.0,False,,,,,False,3,1,False,3.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,54.0,0 days 00:01:18.584000,78.584,23.29,31.708,23.586,SOFT,10.0,4.0,False,,,,,False,3,1,False,3.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,55.0,0 days 00:01:34.644000,94.644,23.359,38.48,32.805,SOFT,11.0,4.0,False,0 days 02:13:44.750000,,55.0,,True,4,124,True,3.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,56.0,0 days 00:02:25.126000,145.126,50.508,54.769,39.849,HARD,1.0,5.0,True,,0 days 02:14:07.144000,,56.0,True,4,4,True,3.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,57.0,0 days 00:02:06.705000,126.705,38.353,48.618,39.734,HARD,2.0,5.0,True,,,,,False,4,4,True,3.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
2025,9,Spain,Spanish Grand Prix,R,VER,Red Bull Racing,58.0,0 days 00:02:08.675000,128.675,37.403,49.887,41.385,HARD,3.0,5.0,True,,,,,False,4,4,True,3.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/spain/race_laps.csv,2026-06-30T00:50:04.526839+00:00
