year,round_number,race_name,track_name,session_type,driver,team,lap_number,lap_time,lap_time_seconds,sector_1_time,sector_2_time,sector_3_time,compound,tyre_life,stint,fresh_tyre,pit_in_time,pit_out_time,pit_in_lap,pit_out_lap,is_pit_lap,pit_stop_count,track_status,safety_car_or_vsc_flag,position,source,source_file,created_at
2025,19,United States,United States Grand Prix,R,VER,Red Bull Racing,1.0,0 days 00:01:40.212000,100.212,,39.777,33.041,MEDIUM,1.0,1.0,True,,,,,False,0,12,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/united_states/race_laps.csv,2026-06-30T00:51:46.675061+00:00
2025,19,United States,United States Grand Prix,R,VER,Red Bull Racing,2.0,0 days 00:01:40.241000,100.241,27.162,39.963,33.116,MEDIUM,2.0,1.0,True,,,,,False,0,1,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/united_states/race_laps.csv,2026-06-30T00:51:46.675061+00:00
2025,19,United States,United States Grand Prix,R,VER,Red Bull Racing,3.0,0 days 00:01:40.069000,100.069,27.191,39.968,32.91,MEDIUM,3.0,1.0,True,,,,,False,0,1,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/united_states/race_laps.csv,2026-06-30T00:51:46.675061+00:00
2025,19,United States,United States Grand Prix,R,VER,Red Bull Racing,4.0,0 days 00:01:39.758000,99.758,27.018,39.69,33.05,MEDIUM,4.0,1.0,True,,,,,False,0,1,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/united_states/race_laps.csv,2026-06-30T00:51:46.675061+00:00
2025,19,United States,United States Grand Prix,R,VER,Red Bull Racing,5.0,0 days 00:01:40.310000,100.31,27.104,39.816,33.39,MEDIUM,5.0,1.0,True,,,,,False,0,1,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/united_states/race_laps.csv,2026-06-30T00:51:46.675061+00:00
2025,19,United States,United States Grand Prix,R,VER,Red Bull Racing,6.0,0 days 00:01:40.141000,100.141,27.052,39.911,33.178,MEDIUM,6.0,1.0,True,,,,,False,0,12,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/united_states/race_laps.csv,2026-06-30T00:51:46.675061+00:00
2025,19,United States,United States Grand Prix,R,VER,Red Bull Racing,7.0,0 days 00:01:58.580000,118.58,27.039,45.447,46.094,MEDIUM,7.0,1.0,True,,,,,False,0,216,True,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/united_states/race_laps.csv,2026-06-30T00:51:46.675061+00:00
2025,19,United States,United States Grand Prix,R,VER,Red Bull Racing,8.0,0 days 00:02:18.596000,138.596,37.928,54.94,45.728,MEDIUM,8.0,1.0,True,,,,,False,0,67,True,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/united_states/race_laps.csv,2026-06-30T00:51:46.675061+00:00
2025,19,United States,United States Grand Prix,R,VER,Red Bull Racing,9.0,0 days 00:01:42.739000,102.739,30.022,39.831,32.886,MEDIUM,9.0,1.0,True,,,,,False,0,71,True,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/united_states/race_laps.csv,2026-06-30T00:51:46.675061+00:00
2025,19,United States,United States Grand Prix,R,VER,Red Bull Racing,10.0,0 days 00:01:39.203000,99.203,26.79,39.572,32.841,MEDIUM,10.0,1.0,True,,,,,False,0,1,False,1.0,fastf1,/Users/chinmaynaringrekar/Documents/Projects/f1-pit-strategy-ml/data/processed/2025/united_states/race_laps.csv,2026-06-30T00:51:46.675061+00:00
