Driver,Stint,Compound,LapsUsed,StartLap,EndLap,AvgLapTimeSeconds,MedianLapTimeSeconds,MinLapTimeSeconds,MaxLapTimeSeconds,StartTyreLife,EndTyreLife,EstimatedDegPerLapSeconds
PIA,1.0,MEDIUM,10,6.0,19.0,76.6212,76.0275,74.934,79.793,6.0,19.0,-0.38745729227193976
RUS,2.0,MEDIUM,11,55.0,67.0,75.59254545454546,76.037,73.483,78.479,2.0,14.0,-0.33198297213622113
LEC,1.0,MEDIUM,12,6.0,21.0,76.26483333333333,75.912,74.807,79.267,6.0,21.0,-0.26815487316421943
LAW,1.0,MEDIUM,21,6.0,30.0,78.58061904761905,77.59,76.607,81.542,6.0,30.0,-0.22979809714571756
ALB,1.0,MEDIUM,22,6.0,31.0,78.53754545454545,77.79050000000001,76.556,81.426,10.0,35.0,-0.21204221479632754
VER,1.0,HARD,18,6.0,27.0,76.2435,75.4025,75.035,80.011,6.0,27.0,-0.1842866429747785
ALB,3.0,HARD,35,42.0,76.0,77.00782857142856,76.228,74.597,80.193,2.0,36.0,-0.15932380952381014
SAI,1.0,HARD,37,6.0,47.0,78.75959459459459,79.22,75.516,81.577,6.0,47.0,-0.09546933683962121
ALO,2.0,HARD,19,18.0,36.0,76.95963157894737,76.84,75.823,78.938,3.0,21.0,-0.09278596491228051
RUS,1.0,HARD,42,6.0,52.0,78.88085714285714,79.204,75.966,81.214,6.0,52.0,-0.056729158663081244
