Driver,Stint,Compound,StartLap,EndLap,LapsInStint,AvgLapTimeSeconds,MedianLapTimeSeconds,MinLapTimeSeconds,MaxTyreLife
ALB,1.0,MEDIUM,1.0,32.0,32,82.33953125,79.73849999999999,76.556,36.0
ALB,2.0,MEDIUM,33.0,40.0,8,79.271875,76.283,75.303,16.0
ALB,3.0,HARD,41.0,76.0,36,77.12977777777778,76.299,74.597,36.0
ALO,1.0,HARD,1.0,16.0,16,85.286625,80.32300000000001,75.593,17.0
ALO,2.0,HARD,17.0,36.0,20,77.1258,77.033,75.823,21.0
ANT,1.0,HARD,1.0,69.0,69,80.72789855072465,79.093,75.019,69.0
ANT,2.0,MEDIUM,70.0,71.0,2,85.5075,85.5075,79.503,2.0
ANT,3.0,HARD,72.0,75.0,4,75.253,74.2425,73.518,4.0
BEA,1.0,MEDIUM,1.0,1.0,1,139.932,139.932,139.932,1.0
BEA,2.0,HARD,2.0,17.0,16,83.6319375,79.47800000000001,74.855,16.0
BEA,3.0,MEDIUM,18.0,76.0,59,78.14394915254238,78.369,75.355,59.0
BOR,1.0,MEDIUM,1.0,1.0,1,145.564,145.564,145.564,1.0
BOR,2.0,HARD,2.0,26.0,25,81.52055999999999,78.411,75.721,25.0
BOR,3.0,SOFT,27.0,35.0,9,79.8138888888889,79.276,75.193,9.0
BOR,4.0,MEDIUM,36.0,76.0,41,78.05765853658536,78.266,74.884,41.0
COL,1.0,HARD,1.0,13.0,13,88.9236923076923,81.709,79.827,13.0
COL,2.0,MEDIUM,14.0,26.0,13,79.13176923076922,77.808,75.435,20.0
COL,3.0,MEDIUM,27.0,76.0,50,78.12472,78.4325,75.298,50.0
GAS,1.0,MEDIUM,1.0,1.0,1,112.223,112.223,112.223,7.0
GAS,2.0,MEDIUM,2.0,7.0,6,90.89766666666667,85.38550000000001,78.054,6.0
HAD,1.0,MEDIUM,1.0,14.0,14,86.39757142857142,80.5475,77.088,14.0
HAD,2.0,SOFT,15.0,19.0,5,80.5278,77.191,75.981,8.0
HAD,3.0,HARD,20.0,77.0,58,77.35724137931035,77.2385,76.044,59.0
HAM,1.0,HARD,1.0,18.0,18,84.16411111111111,80.3765,74.977,18.0
HAM,2.0,HARD,19.0,56.0,38,76.20763157894737,75.564,74.533,39.0
HAM,3.0,MEDIUM,57.0,78.0,22,76.10845454545455,75.9385,74.09,25.0
HUL,1.0,MEDIUM,1.0,12.0,12,89.55766666666666,82.769,79.404,12.0
HUL,2.0,HARD,13.0,44.0,32,79.1058125,78.60849999999999,76.106,32.0
HUL,3.0,SOFT,45.0,76.0,32,78.10340625,77.959,75.223,32.0
LAW,1.0,MEDIUM,1.0,31.0,31,82.479,79.771,76.607,31.0
LAW,2.0,SOFT,32.0,40.0,9,78.9161111111111,76.425,75.8,12.0
LAW,3.0,HARD,41.0,77.0,37,76.58094594594594,76.63,75.321,38.0
LEC,1.0,MEDIUM,1.0,22.0,22,82.03172727272728,78.32300000000001,74.807,22.0
LEC,2.0,HARD,23.0,49.0,27,75.62948148148149,74.714,74.055,27.0
LEC,3.0,MEDIUM,50.0,78.0,29,75.52689655172415,75.407,74.342,32.0
NOR,1.0,MEDIUM,1.0,19.0,19,82.91394736842105,78.47,74.659,19.0
NOR,2.0,HARD,20.0,50.0,31,75.53309677419354,74.711,73.872,31.0
NOR,3.0,HARD,51.0,78.0,28,75.60542857142858,75.549,73.221,28.0
OCO,1.0,MEDIUM,1.0,16.0,16,85.60775,80.5255,76.453,16.0
OCO,2.0,MEDIUM,17.0,28.0,12,78.73833333333333,77.6115,75.774,16.0
OCO,3.0,HARD,29.0,77.0,49,77.25077551020408,77.324,75.157,49.0
PIA,1.0,MEDIUM,1.0,20.0,20,82.9122,78.5945,74.934,20.0
PIA,2.0,HARD,21.0,48.0,28,75.78267857142858,74.94999999999999,73.818,28.0
PIA,3.0,HARD,49.0,78.0,30,75.24473333333334,75.1095,73.745,30.0
RUS,1.0,HARD,1.0,53.0,53,81.07296226415095,79.289,75.966,53.0
RUS,2.0,MEDIUM,54.0,68.0,15,78.34773333333332,76.207,73.483,15.0
RUS,3.0,HARD,69.0,76.0,8,74.4505,73.959,73.405,8.0
SAI,1.0,HARD,1.0,48.0,48,81.26425,79.493,75.516,48.0
SAI,2.0,MEDIUM,49.0,53.0,5,78.965,75.287,74.496,5.0
SAI,3.0,MEDIUM,54.0,76.0,23,76.242,76.214,73.988,31.0
STR,1.0,HARD,1.0,17.0,17,86.83347058823529,81.196,78.472,18.0
STR,2.0,HARD,18.0,64.0,47,79.01991489361703,78.751,76.433,48.0
STR,3.0,MEDIUM,65.0,76.0,12,76.17775,76.188,74.877,13.0
TSU,1.0,SOFT,1.0,1.0,1,110.476,110.476,110.476,1.0
TSU,2.0,HARD,2.0,73.0,72,80.06875,78.928,75.32,72.0
TSU,3.0,MEDIUM,74.0,76.0,3,76.75533333333333,75.886,74.913,3.0
VER,1.0,HARD,1.0,28.0,28,80.85164285714286,76.96600000000001,75.035,28.0
VER,2.0,MEDIUM,29.0,77.0,49,75.7714081632653,75.24,74.23,49.0
VER,3.0,SOFT,78.0,78.0,1,77.77,77.77,77.77,4.0
