Driver,Stint,Compound,LapsUsed,StartLap,EndLap,AvgLapTimeSeconds,MedianLapTimeSeconds,MinLapTimeSeconds,MaxLapTimeSeconds,StartTyreLife,EndTyreLife,EstimatedDegPerLapSeconds
ALB,1.0,MEDIUM,22,6.0,31.0,78.53754545454545,77.79050000000001,76.556,81.426,10.0,35.0,-0.21204221479632754
ALB,2.0,MEDIUM,5,34.0,39.0,76.726,76.185,75.303,80.232,10.0,15.0,-0.774999999999996
ALB,3.0,HARD,35,42.0,76.0,77.00782857142856,76.228,74.597,80.193,2.0,36.0,-0.15932380952381014
ALO,1.0,HARD,6,6.0,15.0,77.71066666666667,76.86500000000001,75.593,80.424,7.0,16.0,-0.5551152941176467
ALO,2.0,HARD,19,18.0,36.0,76.95963157894737,76.84,75.823,78.938,3.0,21.0,-0.09278596491228051
ANT,1.0,HARD,58,6.0,68.0,78.95968965517241,78.958,75.019,81.962,6.0,68.0,-0.030092675928248797
ANT,3.0,HARD,3,73.0,75.0,74.00099999999999,73.651,73.518,74.834,2.0,4.0,
BEA,2.0,HARD,7,6.0,16.0,78.17314285714285,79.194,74.855,80.638,5.0,15.0,0.5540471698113191
BEA,3.0,MEDIUM,57,19.0,76.0,78.12599999999999,78.364,75.355,82.205,2.0,59.0,-0.02057195537065136
BOR,2.0,HARD,16,6.0,25.0,78.30925,78.223,75.721,80.937,5.0,24.0,0.07264791666666526
BOR,3.0,SOFT,7,28.0,34.0,77.55271428571429,78.214,75.193,79.347,2.0,8.0,0.7763571428571382
BOR,4.0,MEDIUM,39,38.0,76.0,78.12494871794873,78.266,74.97,82.158,3.0,41.0,-0.013775101214573619
COL,1.0,HARD,3,6.0,12.0,80.496,80.746,79.827,80.915,6.0,12.0,
COL,2.0,MEDIUM,11,15.0,25.0,77.55263636363637,77.626,75.435,79.296,9.0,19.0,0.12914545454545398
COL,3.0,MEDIUM,48,28.0,76.0,78.0695625,78.4025,75.298,80.722,2.0,50.0,-0.0317203265306119
GAS,2.0,MEDIUM,2,6.0,7.0,78.658,78.658,78.054,79.262,5.0,6.0,
HAD,1.0,MEDIUM,4,6.0,13.0,78.54025,78.465,77.088,80.143,6.0,13.0,
HAD,2.0,SOFT,3,16.0,18.0,76.51466666666666,76.372,75.981,77.191,5.0,7.0,
