Feature,Importance
RaceProgress,0.3907238115959288
LapNumber,0.3567885224766742
PreviousLapTime,0.10547611024070051
IsPitLap,0.07853319424557972
StintProgress,0.01959739011630005
TrackStatus,0.015256186681777507
Rolling3LapAvg,0.008702495731766248
Rolling5LapAvg,0.0050011478361574055
Position,0.004224056234591428
TyreLifeSquared,0.0037579845822582935
TyreLife,0.0035773291879392334
Stint,0.001272852284075492
StintLength,0.0011927544994367889
DriverMedianPace,0.0010985947084384848
Team_Haas F1 Team,0.0008022970997870341
Driver_BEA,0.0006563703312587716
TeamMedianPace,0.0006482122340062998
Driver_SAI,0.0002714029333208811
Driver_ALB,0.00017507383509531718
Team_Williams,0.00017167661397113977
Compound_MEDIUM,0.0001529273472503757
IsGreenFlag,0.00015018478924593606
Compound_HARD,0.00013083797878541797
Compound_SOFT,0.00012888068235296162
Team_Kick Sauber,0.00011991821248875619
Driver_RUS,0.00011883280787344986
Driver_HUL,0.00011387393001373533
Driver_BOR,0.00011018759917775408
Driver_PIA,9.600325656240661e-05
Driver_LEC,9.085684043608215e-05
Driver_OCO,8.80517749778667e-05
Driver_NOR,7.341349356477332e-05
Driver_STR,7.162521055943147e-05
Team_Ferrari,6.354336808222247e-05
Driver_HAM,6.188884748774009e-05
Team_Mercedes,5.94910864097053e-05
Driver_LAW,5.744242504250898e-05
Team_Racing Bulls,5.396199955055893e-05
Team_McLaren,4.476278828051865e-05
Team_Alpine,3.6861091806482126e-05
Team_Aston Martin,3.494887167124107e-05
Driver_HAD,3.4725462933515866e-05
Team_Red Bull Racing,3.466858067595666e-05
Driver_VER,2.9868546873891606e-05
Driver_COL,2.9398700548068393e-05
Driver_GAS,2.9280403102631137e-05
Driver_TSU,2.1448143540904256e-05
Driver_ANT,1.996019309966136e-05
Driver_ALO,1.4692098541853448e-05
