year,race_name,session_type,status,rows_loaded,output_path,error_message
2025,Australia,R,success,927,data/processed/2025/australia/race_laps.csv,
2025,China,R,success,1065,data/processed/2025/china/race_laps.csv,
2025,Japan,R,success,1059,data/processed/2025/japan/race_laps.csv,
2025,Bahrain,R,success,1128,data/processed/2025/bahrain/race_laps.csv,
2025,Saudi Arabia,R,success,898,data/processed/2025/saudi_arabia/race_laps.csv,
2025,Miami,R,success,1005,data/processed/2025/miami/race_laps.csv,
2025,Emilia Romagna,R,success,1207,data/processed/2025/emilia_romagna/race_laps.csv,
2025,Monaco,R,success,1425,data/processed/2025/monaco/race_laps.csv,
2025,Spain,R,success,1203,data/processed/2025/spain/race_laps.csv,
2025,Canada,R,success,1349,data/processed/2025/canada/race_laps.csv,
2025,Austria,R,success,1126,data/processed/2025/austria/race_laps.csv,
2025,Great Britain,R,success,825,data/processed/2025/great_britain/race_laps.csv,
2025,Belgium,R,success,879,data/processed/2025/belgium/race_laps.csv,
2025,Hungary,R,success,1368,data/processed/2025/hungary/race_laps.csv,
2025,Netherlands,R,success,1364,data/processed/2025/netherlands/race_laps.csv,
2025,Italy,R,success,974,data/processed/2025/italy/race_laps.csv,
2025,Azerbaijan,R,success,968,data/processed/2025/azerbaijan/race_laps.csv,
2025,Singapore,R,success,1229,data/processed/2025/singapore/race_laps.csv,
2025,United States,R,success,1067,data/processed/2025/united_states/race_laps.csv,
2025,Mexico City,R,success,1263,data/processed/2025/mexico_city/race_laps.csv,
2025,São Paulo,R,success,1251,data/processed/2025/sao_paulo/race_laps.csv,
2025,Las Vegas,R,success,886,data/processed/2025/las_vegas/race_laps.csv,
2025,Qatar,R,success,1067,data/processed/2025/qatar/race_laps.csv,
2025,Abu Dhabi,R,success,1156,data/processed/2025/abu_dhabi/race_laps.csv,
